"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2019","48.80","49.15","49.20","48.80","356.54K","-1.51%"
"10/02/2019","49.55","49.00","49.90","48.60","421.56K","0.81%"
"10/01/2019","49.15","49.90","49.90","49.15","557.91K","-1.21%"
"09/30/2019","49.75","49.90","50.10","49.75","887.10K","-0.50%"
"09/29/2019","50.00","49.90","50.00","49.65","89.17K","0.40%"
"09/26/2019","49.80","50.80","50.80","49.80","344.11K","-1.97%"
"09/25/2019","50.80","50.60","50.80","50.10","377.07K","0.00%"
"09/24/2019","50.80","50.60","51.20","50.60","397.58K","-0.20%"
"09/22/2019","50.90","50.60","51.20","50.50","171.20K","-0.20%"
"09/19/2019","51.00","50.10","51.00","49.50","2.81M","0.99%"
"09/18/2019","50.50","51.50","51.50","50.50","295.40K","-1.56%"
"09/17/2019","51.30","50.30","51.30","50.30","586.17K","0.98%"
"09/16/2019","50.80","49.80","50.80","49.55","965.63K","2.42%"
"09/15/2019","49.60","48.80","49.75","48.75","463.21K","0.92%"
"09/12/2019","49.15","48.70","49.40","48.25","494.12K","0.72%"
"09/11/2019","48.80","48.45","48.80","48.10","360.62K","0.41%"
"09/10/2019","48.60","48.45","48.60","48.10","721.74K","0.21%"
"09/09/2019","48.50","48.30","48.50","47.85","401.09K","0.31%"
"09/08/2019","48.35","49.00","49.10","48.35","535.37K","-1.33%"
"09/05/2019","49.00","49.20","49.30","48.75","774.09K","0.00%"
"09/04/2019","49.00","48.75","49.15","48.65","728.94K","0.62%"
"09/03/2019","48.70","49.15","49.15","48.65","402.89K","-0.81%"
"09/02/2019","49.10","49.30","49.30","48.65","576.43K","-0.20%"
"09/01/2019","49.20","49.60","49.80","48.40","434.20K","-0.71%"
"08/29/2019","49.55","51.00","51.00","49.50","1.17M","-2.27%"
"08/28/2019","50.70","51.40","51.70","50.30","899.51K","-1.93%"
"08/27/2019","51.70","51.20","52.00","49.75","12.14M","1.37%"
"08/26/2019","51.00","49.80","51.00","49.70","916.14K","2.41%"
"08/25/2019","49.80","51.00","51.00","49.80","387.94K","-2.54%"
"08/22/2019","51.10","51.20","51.60","50.00","2.22M","0.39%"
"08/21/2019","50.90","52.00","52.00","50.90","454.23K","-1.93%"
"08/20/2019","51.90","51.50","52.00","51.50","350.76K","1.37%"
"08/19/2019","51.20","51.90","52.10","51.20","389.11K","-0.97%"
"08/18/2019","51.70","51.70","52.10","51.50","272.93K","-0.39%"
"08/08/2019","51.90","50.00","51.90","49.80","867.10K","3.39%"
"08/07/2019","50.20","49.15","50.20","49.15","556.32K","2.14%"
"08/06/2019","49.15","49.50","49.75","49.15","321.63K","-0.71%"
"08/05/2019","49.50","50.00","50.10","49.50","534.45K","-1.39%"
"08/04/2019","50.20","50.20","50.30","49.80","207.69K","-0.40%"
"08/01/2019","50.40","50.80","50.80","50.10","320.82K","-0.40%"
"07/31/2019","50.60","50.10","51.10","50.10","521.92K","1.20%"
"07/30/2019","50.00","50.00","50.30","49.85","361.63K","0.40%"
"07/29/2019","49.80","50.70","50.80","49.75","555.56K","-1.78%"
"07/28/2019","50.70","50.20","50.80","50.00","411.37K","1.20%"
"07/25/2019","50.10","50.80","51.00","50.10","1.28M","-1.18%"
"07/24/2019","50.70","51.00","51.30","50.70","423.55K","-0.59%"
